,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,16.458252728,0.385262012482,-13.5589619303,-5.42605876662,entropy,10,sqrt,1,2,300,"{'min_samples_leaf': 1, 'n_estimators': 300, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",83,-13.2861421467,-5.21650527367,-13.0613749844,-5.36279538038,-13.6607510005,-5.32354858811,-14.2351601466,-5.18439277495,-14.0353667922,-5.55547235514,-13.6607533131,-5.83377886006,-13.4859366575,-5.49838115565,-13.0458393802,-5.43359574498,0.883289869282,0.0106544396608,0.402415469077,0.195287159128
1,20.5016640127,0.506688654423,-13.6026697556,-5.3734303473,entropy,10,sqrt,1,2,400,"{'min_samples_leaf': 1, 'n_estimators': 400, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",103,-13.6108039627,-5.17368803049,-12.8615827863,-5.27359399506,-13.6108010719,-5.3342515153,-14.3100821486,-5.25218524957,-14.2351578339,-5.48054236544,-13.785622931,-5.75884895297,-13.4859360793,-5.36992983915,-12.9208782508,-5.34440283038,0.0961625912388,0.0126616193717,0.495176117641,0.16843952226
2,25.6383575201,0.699593633413,-13.5714488066,-5.36004915137,entropy,10,sqrt,1,2,500,"{'min_samples_leaf': 1, 'n_estimators': 500, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",90,-13.3610647269,-5.17725658152,-12.8615822081,-5.24861735937,-13.6108016501,-5.25932235164,-14.4349506102,-5.17725550769,-14.1852073272,-5.46626973078,-13.8105955827,-5.74814453892,-13.4609628495,-5.38420263902,-12.8459008789,-5.41932450202,0.0758427724882,0.0732087013409,0.532411733244,0.178671266473
3,15.2119212747,0.373207807541,-13.4871541523,-6.15928890947,entropy,10,sqrt,1,10,300,"{'min_samples_leaf': 1, 'n_estimators': 300, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",32,-13.1862451805,-6.08711690699,-12.9365047883,-6.11565986344,-13.6108033846,-6.05500416047,-14.135258555,-5.90514352025,-14.0103900934,-6.23340627028,-13.785622931,-6.53312226412,-13.0863528395,-6.15490805996,-13.1458086308,-6.18995023026,0.0779346432937,0.00577766555798,0.428537605982,0.169108525803
4,20.2110505104,0.505148082972,-13.5308636399,-6.13029912493,entropy,10,sqrt,1,10,400,"{'min_samples_leaf': 1, 'n_estimators': 400, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",59,-13.3360903408,-6.03359500196,-13.0613767189,-6.06570683985,-13.460961115,-6.00148217283,-14.3850012598,-5.93011941252,-14.2601304855,-6.21556591061,-13.6108039627,-6.54382609995,-13.1113283819,-6.15847528934,-13.02084808,-6.09362227234,0.0623522438621,0.0111605370798,0.495873982178,0.176989987945
5,25.3327077329,0.655300498009,-13.5527175526,-6.11156669502,entropy,10,sqrt,1,10,500,"{'min_samples_leaf': 1, 'n_estimators': 500, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",82,-13.4110123428,-6.01932211949,-13.161273107,-6.07284328109,-13.5109093091,-5.93368829396,-14.2351566776,-5.90157505182,-14.1852084835,-6.2084302128,-13.5858301548,-6.53312226412,-13.2861450376,-6.12636287323,-13.0458388016,-6.09718946362,0.0634261166704,0.0386637124591,0.413800441313,0.184818509242
6,14.7820230424,0.372303217649,-13.5901811447,-7.84919914959,entropy,10,sqrt,1,30,300,"{'min_samples_leaf': 1, 'n_estimators': 300, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",97,-13.4110117647,-7.67491337788,-12.8615822081,-7.75697807415,-13.6357795052,-7.73557081551,-14.1852050146,-7.5750073307,-14.26013222,-7.92824696424,-13.8355676561,-8.26007322651,-13.4859378138,-7.88899595921,-13.0458393802,-7.97380744855,0.094915715427,0.0143648504653,0.465732875856,0.199734163058
7,19.4768815339,0.497761696577,-13.5527170466,-7.82065468649,entropy,10,sqrt,1,30,400,"{'min_samples_leaf': 1, 'n_estimators': 400, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",79,-13.2861404123,-7.64280104437,-12.9614762836,-7.72843255701,-13.5858318893,-7.70345790378,-14.1602329411,-7.63566394231,-14.3100815704,-7.87472505921,-13.7106980382,-8.19941570628,-13.5358871642,-7.84617954207,-12.8708950719,-7.93456173687,0.0802349080191,0.021213779513,0.48145039014,0.176104851647
8,24.4790062904,0.622451484203,-13.6026692497,-7.83135804888,entropy,10,sqrt,1,30,500,"{'min_samples_leaf': 1, 'n_estimators': 500, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",102,-13.4110117647,-7.63566485094,-13.0613738281,-7.77124996539,-13.6108033846,-7.74270692634,-14.2851014027,-7.59998297516,-14.210184026,-7.88186141784,-13.7606485449,-8.20298351388,-13.4359884634,-7.82120224554,-13.0458399587,-7.99521249592,0.0725620142555,0.0185883206086,0.436935348029,0.184020974469
9,14.2006208301,0.394110411406,-13.446567251,-8.79383866048,entropy,10,sqrt,1,50,300,"{'min_samples_leaf': 1, 'n_estimators': 300, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",13,-13.186243446,-8.61688818453,-13.1362958301,-8.77388204447,-13.3360891845,-8.69895420245,-13.9604413212,-8.64186465502,-14.1102870597,-8.83810753751,-13.5358819607,-9.11641404244,-13.1363004554,-8.84881046471,-13.1707993524,-8.81578815271,0.0570492094488,0.0187273661083,0.364205341338,0.147193404302
10,18.8981938958,0.51407957077,-13.5308613271,-8.77332298291,entropy,10,sqrt,1,50,400,"{'min_samples_leaf': 1, 'n_estimators': 400, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",58,-13.5109046838,-8.60975083466,-13.2112160976,-8.78815360529,-13.3610624143,-8.69181776121,-14.0853103609,-8.64900068324,-14.2101828696,-8.79172265194,-13.6108045409,-9.13068576847,-13.161273107,-8.7952893031,-13.0958219805,-8.73016325534,0.050993741424,0.0235524917127,0.392510295279,0.14977771865
11,23.6391701102,0.613779455423,-13.574570092,-8.76261859822,entropy,10,sqrt,1,50,500,"{'min_samples_leaf': 1, 'n_estimators': 500, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",91,-13.5358813826,-8.57407028053,-13.2112178321,-8.7596093272,-13.3860362222,-8.72036319575,-14.035362745,-8.57050346416,-14.3850006816,-8.84524414396,-13.560856925,-9.11284598702,-13.3610653051,-8.75604036315,-13.1208115449,-8.76227202401,0.0541001168596,0.0159802896281,0.401533183092,0.15960218731
12,15.0614514351,0.394268095493,-13.5214968204,-6.06696619859,entropy,10,sqrt,3,2,300,"{'min_samples_leaf': 3, 'n_estimators': 300, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",56,-13.6607544695,-5.91941689834,-13.0364029109,-6.07284228985,-13.5858301548,-5.80523871212,-13.9354663569,-5.86589400208,-14.1352591332,-6.20486215739,-13.5358802262,-6.4260795279,-13.2861456157,-6.19058696203,-12.9958556227,-6.050809039,0.0717945330602,0.0111664232666,0.377279969858,0.191786813786
13,20.0308351219,0.530324488878,-13.5121300731,-6.03306948872,entropy,10,sqrt,3,2,400,"{'min_samples_leaf': 3, 'n_estimators': 400, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",46,-13.4110117647,-5.83021468699,-13.1862451805,-6.02645699127,-13.7106991945,-5.88373576599,-13.810596739,-5.81594056547,-14.2351578339,-6.17988477826,-13.6357766144,-6.44391922674,-13.1113260693,-6.05856891176,-12.995853887,-6.02583498327,0.0631077668752,0.0407689158369,0.388924338376,0.194195172726
14,25.0000547171,0.705218136311,-13.552716613,-6.01968937228,entropy,10,sqrt,3,2,500,"{'min_samples_leaf': 3, 'n_estimators': 500, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 10}",78,-13.5109087309,-5.85162343249,-13.2611683388,-5.99077627193,-13.5858284203,-5.87303176496,-14.1102859034,-5.77312373532,-14.2101828696,-6.17988486087,-13.5858289985,-6.41180623241,-13.2112218792,-6.06570510519,-12.9458689724,-6.01156357511,0.0835292391492,0.0674611646039,0.40571263858,0.191372312986
